Sstart	Send	ID
110552	113114	18
403127	571184	1
581356	654841	2
834860	838718	3
1147883	1278062	5
1222819	1217192	17
1504695	1633867	6
1663134	1668061	4
1729124	1726580	15
2442375	2520460	7
2568167	2658025	8
2694632	2746840	9
3153099	3229885	11
3335985	3428421	10
3484446	3548538	12
3682601	3761035	13
3774352	3945667	14
4000983	4053004	20
4060176	4053005	21
4223294	4417313	16
4502860	4651368	19
