ID	Qstart	Qend	Sstart	Send
1	1	403127	571184	1	168094
2	2	3774352	3945667	3347618	3518980
3	3	4502860	4651368	4237466	4385991
4	4	1147883	1290190	733701	874035
5	5	2771520	2885776	2355383	2469606
6	6	1504695	1633867	1108765	1237970
7	7	2568167	2692095	1992159	2114173
8	8	2442375	2552591	1874136	1984512
9	9	1736551	1806989	1338815	1409268
10	10	581356	649318	176363	244343
11	11	4434934	4494080	4169550	4228699
12	12	4223294	4417313	3731303	3925329
13	13	3153099	3208217	2688164	2743258
14	14	3427706	3548538	3004646	3123489
15	15	2694632	2746840	2117293	2169494
16	16	4000983	4053004	4443103	4495125
17	17	4061164	4111296	4503294	4553432
18	18	3275087	3335831	2535472	2596286
19	19	718877	757475	311940	350538
20	20	1655954	1693898	1260134	1298075
21	21	1109053	1147887	395868	434624
22	22	2258626	2293706	1692662	1727742
23	23	3120639	3153814	2972180	3005361
24	24	661266	693714	256284	288736
25	25	1695246	1726579	1299454	1330775
26	26	3627211	3652274	3200181	3225254
27	27	1321124	1494604	927057	1100647
28	28	757467	779858	349820	372210
29	29	4197245	4218120	3704444	3725317
30	30	2296816	2440442	1728183	1871852
31	31	1973438	2077721	1409267	1511621
32	32	2745526	2763724	2329339	2347537
33	33	3664649	3761035	3237665	3334294
34	34	4178858	4196473	3685939	3703551
35	35	1	17410	4388352	4405763
36	36	3557362	3625250	3132310	3198220
37	37	1074708	1089163	504528	519001
38	38	3230068	3273798	2765103	2808138
39	39	3652590	3662512	3225606	3235528
40	40	4425464	4434791	4160043	4169370
41	41	786006	794937	377715	386650
42	42	573139	581353	168090	176326
43	43	3548539	3556657	3124201	3132316
44	44	1728528	1736550	1330766	1338787
45	45	1494770	1502740	1100799	1108769
46	46	1064564	1072198	521520	529175
47	47	4495271	4502513	4229899	4237141
48	48	4053005	4060176	4495123	4502287
49	49	12058	19148	4032178	4039269
50	50	2938257	2945054	2912165	2918962
51	51	1079970	1086850	1260135	1267021
52	52	1655957	1662841	506855	513739
53	53	2991218	2997538	2860811	2867131
54	54	1850718	1857035	2284616	2290933
55	55	802656	809012	389518	395867
56	56	2928378	2934536	2922683	2928841
57	57	2887983	2894129	2963077	2969223
58	58	1871349	1877360	2264291	2270302
59	59	160890	166858	4116533	4122501
60	60	316408	322233	3604442	3610267
61	61	978259	983896	608622	614259
62	62	4384419	4390045	802996	808623
63	63	4384616	4390202	4400176	4405762
64	64	1217192	1222819	3892443	3898071
65	65	11823	17409	3892640	3898228
66	66	3076054	3081534	2504694	2510174
