Qstart	Qend	ID
1	168094	1
176363	249866	2
452842	456700	3
514062	518989	4
733701	863866	5
1108765	1237970	6
1874136	1952252	7
1992159	2082061	8
2117293	2169494	9
2596441	2688879	10
2688164	2764937	11
3059416	3123489	12
3255828	3334294	13
3347618	3518980	14
3409630	3412174	15
3731303	3925329	16
3892443	3898071	17
3939219	3941781	18
4237466	4385991	19
4443103	4495125	20
4495123	4502287	21
